Country,Value
2020-06-02,3
2020-06-03,10
2020-06-04,2
2020-06-05,4
2020-06-06,1
2020-06-07,1
2020-06-10,1
2020-06-11,1
2020-06-12,4
2020-06-13,1
2020-06-15,7
2020-06-16,10
2020-06-17,4
2020-06-18,4
2020-06-19,2
2020-06-20,2
2020-06-21,7
2020-06-22,6
2020-06-23,6
2020-06-24,2
2020-06-25,1
2020-06-26,2
2020-06-27,1
2020-06-28,1
2020-06-29,6
2020-06-30,1
2020-07-01,18
2020-07-02,5
2020-07-03,2
2020-07-06,1
2020-07-07,4
2020-07-08,1
2020-07-10,4
2020-07-12,2
2020-07-14,3
2020-07-16,1
2020-07-17,41
2020-07-18,19
2020-07-20,2
2020-07-21,5
2020-07-22,1
2020-07-27,2
2020-07-28,1
2020-07-30,3
2020-08-01,1
2020-08-02,1
2020-08-03,1
2020-08-06,1
2020-08-10,2
2020-08-11,1
2020-08-12,1
2020-08-13,1
2020-08-17,2
2020-08-18,2
2020-08-19,1
2020-08-20,1
2020-08-23,2
2020-08-25,2
2020-08-26,1
2020-08-29,1
2020-08-31,4
2020-09-01,2
2020-09-02,2
2020-09-03,10
2020-09-04,3
2020-09-05,2
2020-09-07,4
2020-09-09,1
2020-09-10,1
2020-09-12,1
2020-09-14,1
2020-09-16,15
2020-09-17,20
2020-09-18,2
2020-09-21,1
2020-09-22,2
2020-09-25,2
2020-09-29,2
2020-09-30,1
2020-10-01,2
2020-10-05,1
2020-10-06,16
2020-10-07,10
2020-10-08,6
2020-10-09,5
2020-10-12,3
2020-10-13,1
2020-10-14,3
2020-10-15,6
2020-10-16,31
2020-10-17,1
2020-10-18,1
2020-10-19,3
2020-10-20,13
2020-10-21,4
2020-10-22,8
2020-10-23,2
2020-10-24,6
2020-10-26,3
2020-10-27,5
2020-10-28,11
2020-10-29,1
2020-10-31,2
2020-11-02,1
2020-11-03,13
2020-11-04,1
2020-11-05,18
2020-11-06,1
2020-11-08,1
2020-11-10,1
2020-11-12,1
2020-11-13,1
2020-11-14,3
2020-11-15,1
2020-11-16,2
2020-11-17,3
2020-11-18,3
2020-11-19,2
2020-11-21,1
2020-11-22,4
2020-11-23,3
2020-11-24,5
2020-11-25,1
2020-11-26,1
2020-11-27,2
2020-11-28,1
2020-11-30,1
2020-12-02,3
2020-12-03,5
2020-12-04,1
2020-12-08,10
2020-12-09,2
2020-12-10,3
2020-12-11,25
2020-12-15,13
2020-12-16,1
2020-12-18,8
2020-12-19,3
2020-12-22,1
2020-12-23,3
2020-12-24,7
2020-12-26,1
2020-12-27,1
2020-12-28,5
2020-12-29,1
2020-12-31,1
2021-01-02,2
2021-01-03,1
2021-01-05,1
2021-01-06,1
2021-01-08,1
2021-01-11,7
2021-01-13,1
2021-01-14,1
2021-01-16,1
2021-01-17,5
2021-01-18,2
2021-01-19,1
2021-01-20,4
2021-01-21,8
2021-01-22,2
2021-01-25,2
2021-01-26,3
2021-01-27,1
2021-01-28,2
2021-01-29,2
2021-02-02,2
